Parameter,URLs monitored,Configured,Effect,Crawl,Value
bangladesh, --,8/15/21,None,Representative URL, --
blog, --,8/15/21,None,Representative URL, --
blogspot, --,8/15/21,None,Representative URL, --
breaking, --,8/15/21,None,Representative URL, --
education, --,8/15/21,None,Representative URL, --
google, --,8/15/21,None,Representative URL, --
headline, --,8/15/21,None,Representative URL, --
networking, --,8/15/21,None,Representative URL, --
social, --,8/15/21,None,Representative URL, --
tarunnerkonthoshor, --,8/15/21,None,Representative URL, --
tutorial, --,8/15/21,None,Representative URL, --
অন্তর্জাতিক, --,8/15/21,None,Representative URL, --
আপনার ডাক্তার, --,8/15/21,None,Representative URL, --
ইসলামের ইতিহাস, --,8/15/21,None,Representative URL, --
খেলাধুলা, --,8/15/21,None,Representative URL, --
গ্রাম বাংলা, --,8/15/21,None,Representative URL, --
জেনে রাখা ভালো, --,8/15/21,None,Representative URL, --
তারুণ্যের কণ্ঠস্বর, --,8/15/21,None,Representative URL, --
মুকুল ফটোগ্রাফি, --,8/15/21,None,Representative URL, --
রাজনীতি, --,8/15/21,None,Representative URL, --
